BEGIN RESULTS HEADER:
endoplasmic reticulum membrane2.25626116862chloroplast3.52314576125peroxisome membrane0.0361310710326golgi apparatus0.346492772969nucleus membrane0.0405433383051secreted1.50349490728plastid0.0415381631777cytoplasm64.326014677vacuole membrane0.524482369472endoplasmic reticulum0.45443828568vacuole0.198104525059chloroplast membrane0.147926460112nucleus12.7554010108plasma membrane2.9211634772peroxisome1.35942264705mitochondrion7.48474526279golgi apparatus membrane0.498099866155mitochondrion membrane1.57117470072P34232,90.1813166895,32|MTR2_YEAST mRNA transport regulator MTR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTR2 PE=1 SV=1,187,nucleus,1.0,False,450.906583448,112.426041473,0.00541145431141
P35189,78.858736122,89|TAF14_YEAST Transcription initiation factor TFIID subunit 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAF14 PE=1 SV=1,248,nucleus,1.0,False,394.29368061,130.379777055,0.00627562971552
P48568,2.12240775016,68|YD186_YEAST Uncharacterized protein YDL186W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDL186W PE=4 SV=1,281,nucleus,0.38,False,10.6120387508,3.97597718529,0.00019137753673
P47177,0.487706169009,77|2NDP_YEAST Putative nitronate monooxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJR149W PE=1 SV=2,410,cytoplasm,1.0,False,2.43853084504,1.33306352862,6.41649593355e-05
P00942,7648.19918999,42|TPIS_YEAST Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPI1 PE=1 SV=2,252,cytoplasm,0.58,False,38240.9959499,12848.9746392,0.618465600118
P53394,5.59557805725,94|SULX_YEAST Putative sulfate transporter YPR003C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR003C PE=1 SV=1,766,endoplasmic reticulum membrane,1.0,False,27.9778902863,28.5747519457,0.00137540166485
P40497,1.64458867325,97|YIJ2_YEAST Uncharacterized protein YIL092W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YIL092W PE=1 SV=1,643,nucleus,0.53,False,8.22294336623,7.04980344598,0.000339331428489
P24867,6.88513229185,67|PCL1_YEAST PHO85 cyclin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PCL1 PE=1 SV=1,283,nucleus,0.29,False,34.4256614593,12.9899495906,0.000625251212231
P47025,21.1553034429,25|MDV1_YEAST Mitochondrial division protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDV1 PE=1 SV=1,725,nucleus,0.1,False,105.776517215,102.250633307,0.00492167671482
P47024,0.0567647628009,24|YJ41B_YEAST Transposon Ty4-J Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY4B-J PE=2 SV=3,1833,nucleus,0.63,False,0.283823814005,0.693665401427,3.33885154903e-05
P47027,0.358229110868,27|DPB11_YEAST DNA replication regulator DPB11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPB11 PE=1 SV=1,776,nucleus,1.0,False,1.79114555434,1.85323860023,8.92027850654e-05
P40496,50.0989524379,96|RT25_YEAST 37S ribosomal protein S25, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSM25 PE=1 SV=1,268,mitochondrion,1.0,False,250.494762189,89.5101283557,0.004308432136
P47021,2.44931172427,21|YJL9_YEAST Putative uncharacterized protein YJL119C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJL119C PE=5 SV=1,108,secreted,0.63,False,12.2465586213,1.76350444147,8.48835695714e-05
P47023,0.237799454049,23|YJ41A_YEAST Transposon Ty4-J Gag polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY4A-J PE=3 SV=1,420,nucleus,0.51,False,1.18899727024,0.665838471336,3.20491090784e-05
Q3E791,0.796587096372,91|YA063_YEAST Uncharacterized protein YAL063C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YAL063C-A PE=1 SV=1,97,chloroplast,0.12,False,3.98293548186,0.515126322321,2.4794811961e-05
Q04210,0.785767690157,10|YET2_YEAST Endoplasmic reticulum transmembrane protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YET2 PE=1 SV=1,162,endoplasmic reticulum membrane,0.45,False,3.92883845079,0.84862910537,4.08474546544e-05
Q12042,37.0304676199,42|YP162_YEAST Vacuolar membrane protein YPL162C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPL162C PE=1 SV=1,277,vacuole membrane,1.0,False,185.152338099,68.3829302047,0.00329150699993
P47029,13.3189197321,29|ALY2_YEAST Arrestin-related trafficking adapter 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALY2 PE=1 SV=2,1063,cytoplasm,1.0,False,66.5945986604,94.3867445014,0.00454316054164
Q08182,2.87291953526,82|YAP7_YEAST AP-1-like transcription factor YAP7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YAP7 PE=1 SV=1,249,nucleus,1.0,False,14.3645976763,4.76904642854,0.000229550703012
P03965,1468.0243112,65|CARB_YEAST Carbamoyl-phosphate synthase arginine-specific large chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPA2 PE=1 SV=1,1136,cytoplasm,1.0,False,7340.12155598,11117.8374501,0.535139978379
P39718,6.56537066674,18|PEX22_YEAST Peroxisome assembly protein 22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEX22 PE=1 SV=1,182,endoplasmic reticulum membrane,0.05,False,32.8268533337,7.96598307565,0.000383430323567
P39719,9.3763733947,19|FLC2_YEAST Flavin carrier protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FLC2 PE=1 SV=2,796,endoplasmic reticulum membrane,1.0,False,46.8818669735,49.7572881479,0.00239499041276
P39875,0.391327937938,75|EXO1_YEAST Exodeoxyribonuclease 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EXO1 PE=1 SV=2,713,nucleus,0.27,False,1.95663968969,1.86011213166,8.95336319124e-05
P03962,176.547723633,62|PYRF_YEAST Orotidine 5'-phosphate decarboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA3 PE=1 SV=2,271,cytoplasm,0.51,False,882.738618163,318.962887363,0.0153527872136
P38374,18.0894913544,74|YSY6_YEAST Protein YSY6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YSY6 PE=1 SV=1,66,endoplasmic reticulum membrane,0.17,False,90.4474567721,7.95937619594,0.000383112311591
P21182,125.960921212,82|DCAM_YEAST S-adenosylmethionine decarboxylase proenzyme OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPE2 PE=1 SV=1,402,cytoplasm,0.27,False,629.804606058,337.575268847,0.0162486655235
P39713,20.2418006487,13|BDH2_YEAST Probable diacetyl reductase [(R)-acetoin forming] 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BDH2 PE=1 SV=1,423,cytoplasm,0.39,False,101.209003244,57.0818778294,0.00274754825338
Q08745,766.475472936,45|RS10A_YEAST 40S ribosomal protein S10-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS10A PE=1 SV=1,106,cytoplasm,0.96,False,3832.37736468,541.642667541,0.0260711353892
Q08742,136.402333187,42|RDL2_YEAST Thiosulfate sulfurtransferase RDL2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RDL2 PE=1 SV=1,151,mitochondrion,1.0,False,682.011665937,137.311682075,0.00660928628491
P39714,222.81528211,14|BDH1_YEAST (R,R)-butanediol dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BDH1 PE=1 SV=2,388,cytoplasm,1.0,False,1114.07641055,576.348863059,0.0277416646447
P39715,34.6948386032,15|ECM1_YEAST Shuttling pre-60S factor ECM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM1 PE=1 SV=2,215,nucleus,0.93,False,173.474193016,49.7292686646,0.00239364173809
P53011,15.0777561922,11|SEH1_YEAST Nucleoporin SEH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEH1 PE=1 SV=1,354,nucleus,0.25,False,75.3887809608,35.5835046135,0.00171275717737
P53010,2.3367949647,10|PAN2_YEAST PAB-dependent poly(A)-specific ribonuclease subunit PAN2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAN2 PE=1 SV=1,1133,cytoplasm,1.0,False,11.6839748235,17.6505913,0.000849584021087
Q05123,28.4540526742,23|ARP9_YEAST Actin-like protein ARP9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARP9 PE=1 SV=1,474,nucleus,1.0,False,142.270263371,89.9148064504,0.00432791069268
P53012,27.0472430899,12|SCS3_YEAST FIT family protein SCS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCS3 PE=1 SV=1,386,endoplasmic reticulum membrane,0.25,False,135.23621545,69.6015722181,0.0033501644559
Q08162,47.0604526153,62|RRP44_YEAST Exosome complex exonuclease DIS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DIS3 PE=1 SV=1,1017,cytoplasm,0.21,False,235.302263076,319.069868731,0.015357936597
Q03516,71.6758572534,16|RSN1_YEAST Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1,968,golgi apparatus membrane,0.26,False,358.379286267,462.548198808,0.0222640449836
P32263,530.077042304,63|P5CR_YEAST Pyrroline-5-carboxylate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRO3 PE=1 SV=1,290,cytoplasm,0.18,False,2650.38521152,1024.81561512,0.049327920882
P01123,188.562765706,23|YPT1_YEAST GTP-binding protein YPT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPT1 PE=1 SV=2,209,cytoplasm,0.28,False,942.81382853,262.730786884,0.0126461416839
Q04182,15.0993924802,82|PDR15_YEAST ATP-dependent permease PDR15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDR15 PE=1 SV=1,1554,plasma membrane,0.7,False,75.4969624008,156.429706094,0.00752950291932
P32916,13.3210427429,16|SRPR_YEAST Signal recognition particle receptor subunit alpha homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRP101 PE=1 SV=2,631,cytoplasm,0.13,False,66.6052137145,56.0371864718,0.00269726364425
P15992,530.538550767,92|HSP26_YEAST Heat shock protein 26 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP26 PE=1 SV=3,217,cytoplasm,0.41,False,2652.69275384,767.512436776,0.0369430287738
P32910,10.0779868932,10|RPC6_YEAST DNA-directed RNA polymerase III subunit RPC6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPC34 PE=1 SV=1,322,nucleus,1.0,False,50.3899344661,21.6340785308,0.00104132304229
P32913,32.1355768895,13|VPS17_YEAST Vacuolar protein sorting-associated protein 17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS17 PE=1 SV=2,560,nucleus,0.5,False,160.677884448,119.972820388,0.00577470688848
P08153,4.00850978581,53|SWI5_YEAST Transcriptional factor SWI5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SWI5 PE=1 SV=1,720,nucleus,0.25,False,20.0425489291,19.2408469719,0.000926128528028
P17442,17.9495822861,42|PHO81_YEAST Phosphate system positive regulatory protein PHO81 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO81 PE=1 SV=2,1197,cytoplasm,0.16,False,89.7479114307,143.237666643,0.00689452442298
Q04439,92.9029044384,39|MYO5_YEAST Myosin-5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MYO5 PE=1 SV=1,1239,cytoplasm,1.0,False,464.514522192,767.377990661,0.0369365574171
P32469,97.5437684416,69|DPH5_YEAST Diphthine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPH5 PE=1 SV=1,304,cytoplasm,1.0,False,487.718842208,197.688704042,0.00951544122507
P32468,174.776573571,68|CDC12_YEAST Cell division control protein 12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC12 PE=1 SV=1,413,cytoplasm,0.3,False,873.882867857,481.2181659,0.023162695088
P00830,921.284548216,30|ATPB_YEAST ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP2 PE=1 SV=2,519,cytoplasm,0.13,False,4606.42274108,3187.64453683,0.153432359141
Q04430,25.5006557324,30|PANK_YEAST Pantothenate kinase CAB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAB1 PE=1 SV=1,373,cytoplasm,0.34,False,127.503278662,63.411630588,0.00305222115129
Q04431,9.50236042207,31|KRE28_YEAST Spindle pole body component KRE28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRE28 PE=1 SV=1,391,chloroplast,0.11,False,47.5118021104,24.7694861669,0.00119224105868
Q04432,113.693677293,32|HSP31_YEAST Probable chaperone protein HSP31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP31 PE=1 SV=1,240,cytoplasm,0.24,False,568.468386465,181.909883669,0.00875595201407
P32466,737.628512374,66|HXT3_YEAST Low-affinity glucose transporter HXT3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT3 PE=1 SV=1,576,mitochondrion membrane,0.26,False,3688.14256187,2832.49348752,0.136337710501
P32461,37.7641145923,61|DPH2_YEAST Diphthamide biosynthesis protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPH2 PE=1 SV=1,542,cytoplasm,1.0,False,188.820572961,136.45433406,0.00656801915896
P32460,0.000494793140128,60|DCG1_YEAST Protein DCG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DCG1 PE=2 SV=1,248,cytoplasm,0.09,False,0.00247396570064,0.000818057991678,3.93759611924e-08
P32463,304.023456775,63|ACPM_YEAST Acyl carrier protein, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACP1 PE=1 SV=1,127,mitochondrion,1.0,False,1520.11728387,257.406526736,0.0123898666238
Q04437,33.971245737,37|KU80_YEAST ATP-dependent DNA helicase II subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YKU80 PE=1 SV=1,639,nucleus,1.0,False,169.856228685,144.71750684,0.00696575425109
P00546,133.855679848,46|CDK1_YEAST Cyclin-dependent kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC28 PE=1 SV=1,302,cytoplasm,0.57,False,669.278399241,269.496102094,0.0129717797094
Q07987,2.73100205034,87|PAU23_YEAST Seripauperin-23 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAU23 PE=2 SV=1,126,secreted,0.1,False,13.6550102517,2.29404172228,0.000110420164278
Q07986,0.529226922911,86|YL036_YEAST Uncharacterized protein YLR036C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR036C PE=1 SV=1,206,endoplasmic reticulum membrane,0.42,False,2.64613461456,0.726804974132,3.49836377701e-05
Q04212,1.25723023465,12|ARA2_YEAST D-arabinose 1-dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARA2 PE=1 SV=1,340,cytoplasm,0.61,False,6.28615117327,2.84972186522,0.00013716697192
Q08686,29.4825470765,86|THTR_YEAST Thiosulfate sulfurtransferase TUM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUM1 PE=1 SV=1,309,mitochondrion,0.21,False,147.412735383,60.7340469776,0.00292333978908
P40554,31.8862861504,54|URM1_YEAST Ubiquitin-related modifier 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URM1 PE=1 SV=1,100,cytoplasm,0.3,False,159.431430752,21.2575241003,0.00102319817486
Q06673,16.9754031446,73|ECM30_YEAST Protein ECM30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM30 PE=1 SV=1,1295,cytoplasm,1.0,False,84.877015723,146.554313815,0.00705416612521
P20107,124.477665358,07|ZRC1_YEAST Zinc/cadmium resistance protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ZRC1 PE=1 SV=2,449,mitochondrion membrane,1.0,False,622.388326788,372.603144971,0.0179346783795
P04385,42.4473633223,85|GAL1_YEAST Galactokinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAL1 PE=1 SV=4,536,secreted,0.26,False,212.236816611,151.678578272,0.00730081470079
P00549,12225.181572,49|KPYK1_YEAST Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC19 PE=1 SV=2,508,cytoplasm,0.66,False,61125.90786,41402.6149238,1.99285108768
P04386,32.2667877712,86|GAL4_YEAST Regulatory protein GAL4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAL4 PE=1 SV=2,895,nucleus,1.0,False,161.333938856,192.525167035,0.00926690232579
P32861,531.75501619,61|UGPA1_YEAST UTP--glucose-1-phosphate uridylyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UGP1 PE=1 SV=1,507,cytoplasm,0.48,False,2658.77508095,1797.33195472,0.0865118048095
P25375,106.376380617,75|PRTD_YEAST Saccharolysin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRD1 PE=1 SV=1,723,cytoplasm,1.0,False,531.881903084,512.734154573,0.0246796686517
P32863,2.41965028805,63|RAD54_YEAST DNA repair and recombination protein RAD54 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAD54 PE=1 SV=1,912,nucleus,1.0,False,12.0982514402,14.7114737513,0.000708114125659
P25377,2.52806739019,77|ADH7_YEAST NADP-dependent alcohol dehydrogenase 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH7 PE=1 SV=1,367,cytoplasm,0.18,False,12.640336951,6.18533821468,0.000297721726308
P32864,77.0847941521,64|RAEP_YEAST Rab proteins geranylgeranyltransferase component A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRS6 PE=1 SV=2,613,cytoplasm,0.13,False,385.42397076,315.019858768,0.0151629956065
P32867,19.2239251815,67|SSO1_YEAST Protein SSO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSO1 PE=1 SV=2,294,golgi apparatus membrane,0.22,False,96.1196259077,37.6788933558,0.00181361548649
P38192,2.01364428186,92|RRT1_YEAST Putative regulator of rDNA transcription protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRT1 PE=5 SV=1,104,mitochondrion membrane,0.07,False,10.0682214093,1.39612670209,6.720040804e-05
Q08562,0.835136138258,62|ULS1_YEAST ATP-dependent helicase ULS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ULS1 PE=1 SV=1,1645,nucleus,1.0,False,4.17568069129,9.15865964956,0.000440837973107
Q08560,1.39259886293,60|YO186_YEAST Putative uncharacterized protein YOR186W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOR186W PE=4 SV=1,146,secreted,0.27,False,6.96299431463,1.35546289325,6.52431182449e-05
Q08561,43.270975647,61|IES4_YEAST Ino eighty subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IES4 PE=1 SV=1,117,nucleus,1.0,False,216.354878235,33.7513610046,0.00162456976721
Q01590,10.4277382209,90|SED5_YEAST Integral membrane protein SED5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SED5 PE=1 SV=1,345,golgi apparatus membrane,0.22,False,52.1386911043,23.983797908,0.00115442316471
Q08295,2.17364564799,95|IMA2_YEAST Oligo-1,6-glucosidase IMA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMA2 PE=2 SV=1,598,cytoplasm,0.99,False,10.86822824,8.66560065001,0.000417105337732
P43321,9.14969259852,21|SMD3_YEAST Small nuclear ribonucleoprotein Sm D3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SMD3 PE=1 SV=1,102,nucleus,0.43,False,45.7484629926,6.22179096699,0.000299476323385
P53727,18.2106206475,27|BUD17_YEAST Putative pyridoxal kinase BUD17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUD17 PE=1 SV=1,322,cytoplasm,0.28,False,91.0531032375,39.0921323233,0.00188163956706
P49166,1792.93624102,66|RL37A_YEAST 60S ribosomal protein L37-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL37A PE=1 SV=2,89,cytoplasm,1.0,False,8964.68120508,1063.80883634,0.0512047995152
P49167,1944.8321915,67|RL38_YEAST 60S ribosomal protein L38 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL38 PE=1 SV=1,79,cytoplasm,1.0,False,9724.1609575,1024.27828752,0.0493020574458
P53861,15.982379378,61|ELOA1_YEAST Elongin-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ELA1 PE=1 SV=1,385,nucleus,0.71,False,79.9118968898,41.0214404034,0.00197450383935
P25371,45.1714857026,71|ADP1_YEAST Probable ATP-dependent permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADP1 PE=1 SV=2,1066,endoplasmic reticulum membrane,1.0,False,225.857428513,321.018691726,0.0154517401896
Q05874,65.7726838819,74|NNT1_YEAST Putative nicotinamide N-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NNT1 PE=1 SV=1,265,cytoplasm,1.0,False,328.863419409,116.198408191,0.00559303137198
P53725,14.2299488264,25|MPP6_YEAST M-phase phosphoprotein 6 homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MPP6 PE=1 SV=1,189,nucleus,1.0,False,71.1497441321,17.9297355213,0.00086302019815
Q05871,23.6459380645,71|ECI1_YEAST 3,2-trans-enoyl-CoA isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECI1 PE=1 SV=1,284,peroxisome,1.0,False,118.229690322,44.7696427354,0.00215491778441
P19956,11.7886688731,56|RM44_YEAST 54S ribosomal protein L44, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL44 PE=1 SV=1,99,mitochondrion,1.0,False,58.9433443654,7.78052145624,0.000374503414225
P32609,4.88485356435,09|PEP7_YEAST Vacuolar segregation protein PEP7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP7 PE=1 SV=2,523,cytoplasm,0.27,False,24.4242678217,17.0318560944,0.000819802155139
P32608,71.2488942011,08|RTG2_YEAST Retrograde regulation protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTG2 PE=1 SV=2,597,cytoplasm,0.41,False,356.244471006,283.57059892,0.013649233932
Q01574,12.7837617142,74|ACS1_YEAST Acetyl-coenzyme A synthetase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACS1 PE=1 SV=2,724,mitochondrion,0.35,False,63.9188085709,61.7029565404,0.00296997675826
P08539,111.871899476,39|GPA1_YEAST Guanine nucleotide-binding protein alpha-1 subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPA1 PE=1 SV=3,479,cytoplasm,0.35,False,559.359497382,357.244265662,0.0171954023847
Q04052,0.455476190222,52|ARO80_YEAST Transcriptional activator ARO80 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO80 PE=1 SV=1,965,nucleus,1.0,False,2.27738095111,2.9302301571,0.000141042114525
Q04053,9.32864007629,53|SNX41_YEAST Sorting nexin-41 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNX41 PE=1 SV=1,635,nucleus,0.54,False,46.6432003814,39.4912429896,0.00190085014414
Q04502,1.41476455455,02|YMI9_YEAST Putative uncharacterized protein YML089C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YML089C PE=5 SV=1,124,secreted,0.15,False,7.07382277273,1.16953869842,5.62939435475e-05
P32600,4.90971632451,00|TOR2_YEAST Serine/threonine-protein kinase TOR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOR2 PE=1 SV=3,2515,nucleus,0.18,False,24.5485816225,82.3195770409,0.00396232602568
P22354,21.5857501328,54|RM20_YEAST 54S ribosomal protein L20, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL20 PE=1 SV=2,198,mitochondrion,1.0,False,107.928750664,28.4931901754,0.00137147581468
